"customer_id";"first_name";"last_name";"email";"phone";"username"
1;"Emma";"Johnson";"emma.johnson@gmail.com";"(555) 123-4567";"StarGazer123"
2;"Liam";"Brown";"liam.brown@samplemail.com";"(555) 234-5678";"EchoFrost"
3;"Olivia";"Davis";"olivia.davis@testmail.com";"(555) 345-6789";"TechVoyager"
4;"Noah";"Martinez";"noah.martinez@domain.com";"(555) 456-7890";"MoonlitWanderer"
5;"Sophia";"Wilson";"sophia.wilson@mailbox.com";"(555) 567-8901";"QuantumQuokka"
6;"Jackson";"Lee";"jackson.lee@webmail.com";"(555) 678-9012";"NebulaNinja"
7;"Ava";"Garcia";"ava.garcia@inbox.com";"(555) 789-0123";"PixelPioneer"
8;"Ethan";"Anderson";"ethan.anderson@provider.com";"(555) 890-1234";"MysticHorizon"
9;"Mia";"Thomas";"mia.thomas@service.com";"(555) 901-2345";"ZenithExplorer"
10;"James";"Taylor";"james.taylor@email.com";"(555) 012-3456";"AuroraDreamer"
