"username";"password"
"AuroraDreamer";"v^X*4T7!Q#R9@"
"CosmicVoyage";"R9&!mT^5b#J7@"
"CrimsonNebula";"m&^9X*3!P#L$2"
"EasyC";"1111"
"EasyS";"1111"
"EchoFrost";"G3!mL#xQ8pF$"
"ElectricEcho";"*W9^@t&4B#R1$"
"EnigmaWalker";"G$2^P6@x!R&8#"
"FrostedPhoenix";"Y#5@P*3!bR^X8"
"GalacticQuest";"H5$R&2^9@Q*8!"
"MoonlitWanderer";"k@R1^jG$5XpA"
"MysticHorizon";"P*3!fR^L&7$wJ"
"NebulaNinja";"N9&h%3D@F^Jx!"
"PixelPioneer";"u$X2@z^Q8#Jk8"
"QuantumQuokka";"#4bL&^Yp*6Zt!"
"RogueRanger";"Z@6^h#1*B2$kV"
"SereneSpecter";"k^3$L&2*J@9!m"
"StarGazer123";"X7&vT^bJ9aZ@"
"TechVoyager";"q8*WvZ%2RbP^"
"VortexVagabond";"j7!L^Q*9x&F$2"
"WhisperingShadow";"X*7^2!L@#m8&J"
"ZenithExplorer";"H5^t@K%8^mL#1"
